marks,candidates,share,cumulative_share
339,2316,0.0009926443170255644,0.779517667440152
340,2718,0.001164942682934147,0.7806826101230862
341,2345,0.0010050738011333975,0.7816876839242195
342,2361,0.001011931447537719,0.7826996153717573
343,2401,0.0010290755635485233,0.7837286909353057
344,2349,0.001006788212734478,0.7847354791480402
345,2697,0.0011559420220284746,0.7858914211700687
346,2373,0.0010170746823409604,0.7869084958524096
347,2457,0.0010530773259636494,0.7879615731783732
348,2355,0.0010093598301360986,0.7889709330085093
349,2295,0.0009836436561198923,0.7899545766646292
350,2640,0.0011315116567130786,0.7910860883213423
351,2338,0.0010020735808315068,0.7920881619021738
352,2359,0.001011074241737179,0.793099236143911
353,2332,0.000999501963429886,0.7940987381073409
354,2327,0.0009973589489285356,0.7950960970562694
355,2593,0.0011113673204003838,0.7962074643766698
356,2365,0.0010136458591387997,0.7972211102358085
357,2211,0.0009476410124972034,0.7981687512483058
358,2210,0.0009472124095969333,0.7991159636579027
359,2214,0.0009489268211980137,0.8000648904791007
360,2574,0.0011032238652952516,0.8011681143443959
361,2220,0.0009514984385996343,0.8021196127829956
362,2230,0.0009557844676023353,0.803075397250598
363,2229,0.0009553558647020652,0.8040307531153
364,2156,0.0009240678529823476,0.8049548209682824
365,2541,0.0010890799695863383,0.8060439009378687
366,2179,0.00093392571968856,0.8069778266575572
367,2281,0.0009776432155161109,0.8079554698730733
368,2218,0.0009506412327990941,0.8089061111058724
369,2154,0.0009232106471818073,0.8098293217530542
370,2351,0.0010076454185350182,0.8108369671715893
371,2221,0.0009519270414999044,0.8117888942130892
372,2117,0.0009073523398718135,0.812696246552961
373,2073,0.0008884938122599288,0.813584740365221
374,2153,0.0009227820442815372,0.8145075224095025
375,2454,0.001051791517262839,0.8155593139267654
376,2131,0.0009133527804755949,0.816472666707241
377,2145,0.0009193532210793764,0.8173920199283203
378,2109,0.0009039235166696526,0.81829594344499
379,2022,0.0008666350643461534,0.8191625785093362
380,2380,0.0010200749026428512,0.820182653411979
381,2118,0.0009077809427720836,0.8210904343547512
382,2103,0.000901351899268032,0.8219917862540191
383,2082,0.0008923512383623598,0.8228841374923815
384,2056,0.000881207562955337,0.8237653450553368
385,2232,0.0009566416734028756,0.8247219867287398
