stratum_id,label,outcome,metric,bin_left,bin_right,share,count
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual_if_employed,250000.0,500000.0,0.1374314603350269,2732.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual_if_employed,500000.0,1000000.0,0.03697369082951859,735.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual_if_employed,1000000.0,2000000.0,0.004577695055083254,91.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual_if_employed,2000000.0,5000000.0,0.00015091302379395343,3.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,accessible_mbbs_seat,annual,0.0,1.0,0.3991,15964.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,accessible_mbbs_seat,annual,1.0,100000.0,0.024825,993.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,accessible_mbbs_seat,annual,100000.0,250000.0,0.114625,4585.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,accessible_mbbs_seat,annual,250000.0,500000.0,0.1662,6648.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,accessible_mbbs_seat,annual,500000.0,1000000.0,0.18015,7206.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,accessible_mbbs_seat,annual,1000000.0,2000000.0,0.09095,3638.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,accessible_mbbs_seat,annual,2000000.0,5000000.0,0.023375,935.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_seat_mixture,annual,0.0,1.0,0.48775,19510.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_seat_mixture,annual,1.0,100000.0,0.061125,2445.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_seat_mixture,annual,100000.0,250000.0,0.1985,7940.0
